id,saleprice
2658,133764.2852365989
2718,177267.11341440148
2414,205611.1146759285
1989,89436.83098797369
625,172041.89918185776
333,79881.70796478035
1327,108904.83491001604
858,151514.00402324524
95,183766.63029886034
1568,159924.515411874
2482,145749.10403673537
1364,104346.26863335127
2584,146463.20010908396
818,294039.2410444291
2673,145334.19898958344
2089,108819.89336418535
1297,138046.45822214146
790,124440.92603258713
2616,186344.24419193735
720,168108.98659256997
222,160304.888197776
557,133075.95597887033
1148,191756.2132163189
2766,177647.08641615094
534,179778.67346792325
1452,121305.47308229504
630,120639.94663316019
2648,116205.21543682474
125,169900.32062757405
1904,85421.25906912683
1670,112982.83659892285
756,89343.18095291813
717,228802.95084571422
1032,156714.8438640214
852,211491.71345834824
1731,171362.59949658773
2639,103628.50145464392
2071,99464.28601809894
1267,146190.16482427187
1851,202909.67067053542
567,158476.0427235668
2439,209297.605572561
1898,159254.57208147072
647,152707.35038105684
2256,220628.9212052634
979,87189.75041975839
1444,221801.28178732726
2485,112671.34417408801
157,137493.19565032778
88,126448.38335342678
2003,94062.57820197543
186,206701.19272811158
1425,254983.6598563898
2695,122461.1995530565
738,100911.94860647869
395,154169.613009691
1353,158014.88431141246
1878,143200.2449869463
390,152412.40806828867
1456,237782.93707740057
1103,322751.9619077791
1387,103555.68851499048
2070,147821.3470046485
1199,166335.53531561664
2479,170337.0537710526
501,319221.6174860012
2362,89803.92262083998
1718,221124.25169486235
2188,89998.8735099318
1483,155494.33855196857
2557,88695.75663060539
437,339630.48278992984
2224,193861.72423800558
1628,172240.81790397505
397,144882.52230062507
587,193783.88447550652
2182,662997.7350687297
971,132956.54298523552
2611,129185.04796960669
1887,119225.8051137696
2399,340021.0638317092
2148,202863.06491839408
304,104883.67839177651
1997,130559.80338167449
2817,123154.36780918541
1431,220717.35288602381
427,376672.48037748714
263,129751.07966788388
598,165163.0675410752
2895,222774.5709069037
687,144693.3577858595
1822,135983.83393351315
2191,95403.45443376811
179,115364.72474893456
1009,233872.12680262874
2010,116115.80974147789
1991,140094.23492647999
1411,168232.3006441276
1721,239766.55382580875
1144,195488.29264419753
593,216320.78371659073
575,316045.1389927642
1249,174944.7447406439
1604,122857.28665921281
1064,431205.6756729097
1923,147386.06846619278
1988,116032.17968597461
2325,174132.70721916194
114,213354.5676677271
2700,177904.85298166992
217,128717.4008762906
343,172837.3059123497
386,240662.40068544768
2005,128191.21654367838
2908,128933.3984587365
1814,221208.52419859637
2446,468275.9767236458
208,143889.9747849192
1679,106476.18841016566
822,301154.46805422974
6,189220.60319790372
1781,370027.87340741593
2397,282554.01665296254
2340,307552.9030071564
1618,176790.37699887142
2843,109368.71388595934
1061,361613.4694683891
2786,126474.75934226994
1935,138263.85743073464
1341,118646.78810514504
521,278070.40173497295
2136,130163.77994622078
996,208539.46062308617
227,139025.6575071335
135,176050.28858663474
1167,161429.04609972477
294,221275.82700102768
1776,215452.88276604202
540,167062.26243863808
1717,221124.25169486235
2303,138665.56343149854
116,186177.78425781382
127,142667.2960072823
1371,121916.8669776662
1014,151635.41140676138
1507,120106.14249183994
702,124810.45425367367
750,141685.17287326988
261,146378.69119703668
1559,98356.81207951756
577,250607.2383143946
2812,195439.41643602448
2080,148083.40878234492
1368,114135.07637783833
2376,128203.47296872785
659,106583.22704646122
1235,131416.54206238553
332,65408.61713911925
1917,142718.94382466626
2094,258071.55041751562
1460,266150.0909905005
1471,219103.81690497545
1509,110497.4019100669
1922,124597.252039068
433,450110.4163055511
460,244625.3464452892
1116,247120.76232674887
1137,165979.60076546078
53,171562.85839380889
2354,266087.675382979
1475,195773.4606752916
1761,588117.043522805
842,137734.77663225748
2739,177035.00868574757
2509,158648.9558430654
1007,206761.57987065832
2610,174696.59392133102
1952,94463.44246126899
2719,167669.4014492365
2921,72723.1309945284
1966,145441.21437813123
292,121208.19215988254
1204,187153.29267412753
1829,284417.31327707577
2419,184881.30445855382
391,156495.7522306673
798,106557.30986112045
481,200575.64960451238
193,181272.21412321663
555,118928.63552531545
899,67926.98604122442
2357,176350.35570236537
328,135522.82537247043
1356,107375.73998188126
1154,109307.02180472747
1730,183924.8346116363
2249,158274.06442428537
1119,281790.22543877456
2856,133116.53931811152
